epoch,train_loss,val_loss,lr
1,7.230553937500708,1.295308704223108,0.01
2,0.1881960952035231,1.0709977063153862,0.01
3,0.1545684156980997,1.2814955751010038,0.01
4,0.16408528522655622,1.0687090222487392,0.01
5,0.16173595536632387,1.094068174287449,0.01
6,0.17468729193240365,1.0779094291161688,0.01
7,0.18968582131781184,1.1524753366178329,0.01
8,0.21189766277347383,3.1374162769098892,0.01
9,0.2437575303321599,2.6285254402991827,0.01
10,0.2612288839596173,1.9102598223664344,0.01
11,0.20527877962111488,1.3547211388974745,0.001
12,0.1728328981396403,1.2988581529132088,0.001
13,0.15328824551440726,1.0539510061206803,0.001
14,0.13809841158022704,0.8412251733585235,0.001
15,0.11602136437902312,0.788357009102992,0.001
16,0.10817212358841602,0.8152845076282454,0.001
17,0.08874609312544358,0.8079424395883849,0.001
18,0.07638466686656535,0.5602142112358083,0.001
19,0.06948856223722169,0.41500726640110536,0.001
20,0.06754497975189332,0.3994893542396913,0.001
21,0.06169641563734933,0.5013230701606572,0.001
22,0.05986348350144404,0.4410927429544634,0.001
23,0.06125921226362361,0.3860442388107835,0.001
24,0.060927331212629,0.32993447957759786,0.001
25,0.06287097187808247,0.31126999471689765,0.001
26,0.063891810241416,0.3433763193200123,0.001
27,0.06007673526757963,0.4292651036930832,0.001
28,0.05929259973016424,0.4999604639383631,0.001
29,0.06314951357640981,0.821236375548424,0.001
30,0.06041634704491782,0.41134303602580813,0.001
31,0.06056774048313361,0.38327059189330454,0.001
32,0.05789479330358305,0.34840236739497576,0.001
33,0.06148640098693963,0.3712118191741384,0.001
34,0.05652715769962318,0.5361292597806417,0.001
35,0.06178717825772258,0.3678120075944321,0.001
36,0.05843129230274007,0.32067463290094417,0.001
37,0.05834743729578368,0.37412637855789255,0.001
38,0.059471471531319084,0.43421389985066305,0.001
39,0.059758057218147795,0.41844234863917035,0.001
40,0.059787175785774624,0.3449848784185057,0.001
41,0.06102398775870399,0.5850515397442134,0.001
42,0.06185807514588169,0.42448908813434455,0.001
43,0.06154295278568697,0.37427402131077164,0.001
44,0.05933120190783963,0.34842557562600585,0.001
45,0.06251851504524183,0.3376349652875272,0.001
46,0.06271229741627378,0.42458515802814145,0.001
47,0.06407804674568063,0.3968365286400012,0.001
48,0.06202845970773274,0.3277803107480937,0.001
49,0.06052290898859109,0.4176022970439462,0.001
50,0.061726722393904504,0.6101205616460299,0.001
51,0.06302381799349491,0.34892941989710935,0.001
52,0.05865040631981936,0.3536266075498467,0.001
53,0.06266102451787045,0.3407045370622877,0.001
54,0.05995569196034042,0.3738408437744922,0.001
55,0.06140650120538105,0.5192151453391584,0.001
56,0.058676563690412846,0.3371262336662466,0.001
57,0.05856380232765233,0.4980451843447824,0.001
58,0.06403626960735283,0.46488309317248494,0.001
59,0.06278987895359582,0.47075191702955727,0.001
60,0.06038087323973746,0.3469937053033427,0.001
61,0.06326494553908411,0.36077227270862927,0.001
62,0.0588219647348397,0.5844250823163203,0.001
