epoch,train_loss,val_loss,lr
1,0.7621094284897642,0.5982528462890506,0.001
2,0.1899683668900648,0.7714339151631954,0.001
3,0.12738623554996875,0.4060690923370132,0.001
4,0.09589847107779795,0.27705418601516607,0.001
5,0.08855574749834796,0.3430455239821774,0.001
6,0.07545221420342749,0.23147654620020888,0.001
7,0.06595642431373733,0.3191779111042734,0.001
8,0.0668506063231378,0.26866095336948254,0.001
9,0.06438553781089387,0.36542605383451593,0.001
10,0.059715874859860525,0.24133781244068644,0.001
11,0.06292696355074799,0.2559290128189695,0.001
12,0.06244539498433548,0.394411729345488,0.001
13,0.062091614018372925,0.25370073135104754,0.001
14,0.062180363182267995,0.3171245132594608,0.001
15,0.06403573391080829,0.2540677073158959,0.001
16,0.0709089799518721,0.4764363372972769,0.001
17,0.07517451493774054,0.29004815131310346,0.001
18,0.06606013724493548,0.20850730504725098,0.001
19,0.060968589713227564,0.40939309459555057,0.001
20,0.06903798441967199,0.2517279590689397,0.001
21,0.06874998152217408,0.2189516739327778,0.001
22,0.06380238713107887,0.5607424318328385,0.001
23,0.07431166819803456,0.5431829243320827,0.001
24,0.07561483025222708,0.4568489181643078,0.001
25,0.0819473423913044,0.28105338757438947,0.001
26,0.07306153584908637,0.3575440390512001,0.001
27,0.08739912884377445,0.36978812944577183,0.001
28,0.0859756793421476,0.30922063287029894,0.001
29,0.10667156887486809,0.2624002676745949,0.001
30,0.08205089202739414,0.5983954382728237,0.001
31,0.08204105589056263,0.28983201886447824,0.001
32,0.08374805999388966,0.4557952299829601,0.001
33,0.08496129084281971,0.35082075294367104,0.001
34,0.07762298152005116,0.4475989307370759,0.001
35,0.08983067004251356,0.26454946173484933,0.001
36,0.0862518062747513,0.25876347584895387,0.001
37,0.0992826492829644,0.2673332147415756,0.001
38,0.08402596305997878,0.27256774199159106,0.001
39,0.08660430722710691,0.3447147975134295,0.001
40,0.09680754838057751,0.3319337904857573,0.001
41,0.09101803284234951,0.4164284183535465,0.001
42,0.11790888196754949,0.4397433395100425,0.001
43,0.08625495605595371,0.2894326808263165,0.001
44,0.08988040896045729,0.3836648185528064,0.001
45,0.08477943242947364,0.31910083402496897,0.001
46,0.08462896709537877,0.4410167761262535,0.001
47,0.09843673008865643,0.431673393144395,0.001
48,0.09033681232231269,0.541540240594583,0.001
49,0.08655598450818827,0.30235662741601005,0.001
50,0.09190095493984964,0.3331583682086694,0.001
51,0.08507569173321977,0.30383878202690173,0.001
