centroid-0,centroid-1,label
50.03448275862069,153.55172413793105,2
54.47191011235955,180.4494382022472,3
55.94736842105263,126.75,4
69.6,153.56666666666666,5
69.58888888888889,202.4111111111111,6
71.85714285714286,104.85714285714286,7
72.4020618556701,173.04123711340208,8
73.45555555555555,134.4,9
83.54961832061069,190.61832061068702,10
85.32954545454545,118.56818181818181,11
86.0,154.0,12
90.13157894736842,170.94736842105263,13
91.38823529411765,136.64705882352942,14
92.90666666666667,219.09333333333333,15
94.30337078651685,89.42696629213484,16
99.54117647058824,201.71764705882353,17
101.37333333333333,106.66666666666667,18
103.10810810810811,154.94594594594594,19
103.04054054054055,183.75675675675674,20
103.76543209876543,124.41975308641975,21
108.98529411764706,142.60294117647058,22
108.48076923076923,166.8846153846154,23
120.04615384615384,171.36923076923077,24
120.29333333333334,189.0,25
118.0,225.0,26
120.41176470588235,137.10294117647058,27
120.29310344827586,155.29310344827587,28
120.5909090909091,205.8939393939394,29
122.0,84.39285714285714,30
121.76404494382022,102.88764044943821,31
121.3125,120.0,32
132.17808219178082,142.17808219178082,33
132.2,167.10666666666665,34
138.25641025641025,124.57692307692308,35
137.0625,155.0625,36
137.94736842105263,185.03947368421052,37
140.14492753623188,201.65217391304347,38
141.07575757575756,108.39393939393939,39
144.6086956521739,220.5,40
148.44444444444446,90.85858585858585,41
151.08045977011494,172.90804597701148,42
151.42307692307693,137.74358974358975,43
157.7058823529412,118.95798319327731,44
156.46052631578948,155.14473684210526,45
157.06666666666666,190.89333333333335,46
167.79365079365078,175.37301587301587,47
168.43859649122808,134.93859649122808,48
169.05769230769232,107.09615384615384,49
171.34821428571428,155.34821428571428,50
169.5,203.5,51
183.56,181.65,52
184.6627906976744,128.8139534883721,53
188.20422535211267,155.42957746478874,54
